Vertices,Tipo,Tempo_Kruskal,Tempo_Prim
10,esparso,5.221366882324219e-05,4.00543212890625e-05
10,denso,4.839897155761719e-05,0.00010228157043457031
30,esparso,0.00011730194091796875,9.703636169433594e-05
30,denso,0.0003871917724609375,0.00043010711669921875
50,esparso,0.0002048015594482422,0.00015854835510253906
50,denso,0.0008220672607421875,0.0009849071502685547
80,esparso,0.00033974647521972656,0.00025653839111328125
80,denso,0.0020384788513183594,0.0024709701538085938
100,esparso,0.00047206878662109375,0.00032448768615722656
100,denso,0.0030210018157958984,0.0038728713989257812
500,esparso,0.0021915435791015625,0.0016946792602539062
500,denso,0.08858180046081543,0.1383979320526123
